Country,Literacy,Homicide,Mobile,StartupProcedures
Aruba,,,135.13384,
Afghanistan,,,58.42052823,3
Angola,,9.6,49.83804154,8
Albania,,2.3,116.3375126,5
Andorra,100,0,91.43999795,
Arab World,73.74158,3.8,104.6794769,8.5
United Arab Emirates,,0.7,196.0013991,6
Argentina,98.08999634,6.5,142.4348098,13
Armenia,,2.5,118.7709765,4
American Samoa,,,,
Antigua and Barbuda,,,176.1356244,9
Australia,,1,108.2793309,3
Austria,,0.5,155.2155247,8
Azerbaijan,99.78806305,,111.2258882,4
Burundi,,,49.00052651,3
Belgium,,1.9,113.1658212,3
Benin,,6,88.1051181,8
Burkina Faso,,,79.77028842,3
Bangladesh,,2.5,81.49814015,9
Bulgaria,,1.8,128.1054159,7
Bahrain,,,183.6239982,7
"Bahamas, The",,,80.44064957,8
Bosnia and Herzegovina,,1.5,97.38568949,12
Belarus,,,120.688975,5
Belize,,,58.99055911,9
Bermuda,,6.5,61.28735706,
Bolivia,92.45507813,,94.76091883,14
Brazil,,26.7,125.1755852,11
Barbados,,10.9,117.7945021,8
Brunei Darussalam,,,110.9790153,7
Bhutan,,,85.82156655,8
Botswana,,,157.3117744,9
Central African Republic,,13.1,27.330987,10
Canada,,1.7,82.79621957,2
Central Europe and the Baltics,,1.3,128.4656546,5.636363636
Switzerland,,0.7,135.1384876,6
Channel Islands,,,,
Chile,,,130.64668,7
China,,,92.48087287,9
Cote d'Ivoire,,11.8,109.9493294,4
Cameroon,,5.9,79.53162759,7
"Congo, Dem. Rep.",,13.4,49.54653172,7
"Congo, Rep.",,10.1,104.4108792,11
Colombia,94.24504852,26.5,118.8658902,9
Comoros,,7.6,54.64019634,9
Cabo Verde,86.79029083,8.8,114.74068,8
Costa Rica,,11.8,156.7352531,9
Caribbean small states,,31.5,113.2374307,7.153846154
Cuba,,,29.10060453,
Curacao,,,120.5550282,
Cayman Islands,,,155.5025599,
Cyprus,,1.3,131.7901791,6
Czech Republic,,0.7,117.4543054,8
Germany,,0.8,117.9324532,9
Djibouti,,6.8,33.89532614,7
Dominica,,,105.5930674,5
Denmark,,1,124.4441651,5
Dominican Republic,91.99121094,,83.55734977,7
Algeria,,1.4,108.4173223,12
East Asia & Pacific (excluding high income),95.2526,1.5,101.4848027,7.9
Early-demographic dividend,78.1656,6,89.20212409,8.885245902
East Asia & Pacific,95.63301,1.4,104.0809224,6.793103448
Europe & Central Asia (excluding high income),98.85536,6.2,127.9612913,5.3
Europe & Central Asia,99.02565,3.3,124.9553065,5.326530612
Ecuador,94.45565796,,80.17527227,12
"Egypt, Arab Rep.",,,100.2537691,8
Euro area,98.91283,1,120.5720731,5.421052632
Eritrea,,7.5,9.799924737,13
Spain,98.14325714,0.7,110.0653904,7
Estonia,,3.2,144.7209464,3
Ethiopia,,7.6,42.3654191,14
European Union,99.10534,1,122.2576824,5.535714286
Fragile and conflict affected situations,61.68165,7.7,69.96866539,7.914285714
Finland,,1.6,134.91875,3
Fiji,,,108.2722729,11
France,,1.6,103.4500397,5
Faroe Islands,,,108.6755846,
"Micronesia, Fed. Sts.",,4.7,21.54970172,7
Gabon,,9,146.1813048,9
United Kingdom,,,121.1839932,4
Georgia,,,140.4706134,2
Ghana,,,126.920981,8
Gibraltar,,,121.0733902,
Guinea,,8.5,89.02097029,6
"Gambia, The",,9.1,137.3222963,7
Guinea-Bissau,,9.2,69.95056836,9
Equatorial Guinea,,3.2,45.37527576,18
Greece,,0.8,112.0241848,5
Grenada,,,112.1172407,6
Greenland,100,12.5,108.2001525,
Guatemala,,,111.4995795,8
Guam,,,,
Guyana,,19.4,70.60352837,7
High income,,2.4,124.3191341,6
"Hong Kong SAR, China",,0.3,230.8187986,2
Honduras,87.90682983,63.8,89.81744881,11
Heavily indebted poor countries (HIPC),59.90456,8.1,66.80036405,8.025641026
Croatia,,0.9,104.2408716,8
Haiti,,,68.15384582,12
Hungary,,,120.4609193,6
IBRD only,88.19513,5.6,100.2286928,8.328358209
IDA & IBRD total,83.30718,5.9,93.34203972,7.872340426
IDA total,66.74759,6.9,72.39141822,7.459459459
IDA blend,71.60799,7.7,75.58902377,7.3125
Indonesia,95.21793365,,131.2928284,12
IDA only,63.85725,6.5,70.80643736,7.5
Isle of Man,,,,
India,,,76.4717128,13
Not classified,,,,
Ireland,,0.6,104.2956894,4
"Iran, Islamic Rep.",,4.1,93.52111839,9
Iraq,,,92.92093851,9
Iceland,,0.9,116.2534861,5
Israel,,1.4,131.0674983,5
Italy,,0.8,147.3697996,6
Jamaica,,43.2,109.2369463,2
Jordan,,,150.6443177,7
Japan,,,125.4618376,9
Kazakhstan,,4.8,148.2243479,6
Kenya,,5.8,79.84532391,12
Kyrgyz Republic,,5.1,129.2228613,4
Cambodia,,,134.3667576,8
Kiribati,,,36.47459678,7
St. Kitts and Nevis,,,134.4846006,7
"Korea, Rep.",,,116.4870829,3
Kuwait,95.68544769,,148.5427083,12
Latin America & Caribbean (excluding high income),93.06719,24.2,106.3453862,8.869565217
Lao PDR,,6.9,55.93007889,8
Lebanon,,3.9,79.59784184,8
Liberia,,,81.16239123,5
Libya,,2.5,156.3295966,10
St. Lucia,,,105.9450583,5
Latin America & Caribbean,93.23081,22.3,110.2004012,8.454545455
Least developed countries: UN classification,62.25665,6.2,66.43826828,7.934782609
Low income,59.75239,7,59.62953545,7.878787879
Liechtenstein,,0,109.4831965,
Sri Lanka,,,115.3789507,8
Lower middle income,75.83826,4.5,88.64097344,8.14893617
Low & middle income,83.23758,5.9,92.00811907,7.916030534
Lesotho,,,98.41335022,7
Late-demographic dividend,95.73705,4.8,107.4345936,6.354166667
Lithuania,,6,142.7066372,4
Luxembourg,,,142.3577966,5
Latvia,,4.1,129.97682,4
"Macao SAR, China",,0.2,315.520799,
St. Martin (French part),,,,
Morocco,,,123.7804138,5
Monaco,,,88.80883389,
Moldova,,,91.3220675,5
Madagascar,,,44.12695456,9
Maldives,,,176.8127858,6
Middle East & North Africa,79.24977,3.4,108.3430982,8.333333333
Mexico,94.47228241,16.3,85.54092479,7
Marshall Islands,,,29.24859418,5
Middle income,85.35088,5.8,96.14488273,7.928571429
"Macedonia, FYR",,,100.2055972,4
Mali,33.06888962,10.8,129.9464074,5
Malta,,1,122.5774994,10
Myanmar,,2.4,78.22680698,14
Middle East & North Africa (excluding high income),76.35775,3.7,99.01803352,8.230769231
Montenegro,,2.7,160.4465613,6
Mongolia,,7.2,103.0662671,6
Northern Mariana Islands,,,,
Mozambique,,,71.88302495,10
Mauritania,,10.2,87.13978607,7
Mauritius,92.70760345,,139.9254916,5
Malawi,62.14353943,,37.36687067,8
Malaysia,,,143.5529652,6
North America,,4.6,115.7804653,4
Namibia,,,105.1227737,10
New Caledonia,,,96.72452813,
Niger,,,45.02696768,6
Nigeria,,9.8,83.24795074,9
Nicaragua,,,119.436192,7
Netherlands,,0.6,122.8506375,4
Norway,,,109.905197,4
Nepal,,,96.02102255,7
Nauru,,,83.48134991,
New Zealand,,,121.3557518,1
OECD members,,3.6,115.2153129,5.142857143
Oman,93.03861237,,158.2608499,6
Other small states,83.11836,9.2,118.1673947,7.807692308
Pakistan,,,66.4797217,12
Panama,,11.4,175.0113435,5
Peru,94.16233826,7.2,109.1123083,7
Philippines,,,115.8496776,16
Palau,96.59374237,,111.5323187,8
Papua New Guinea,,,44.95048817,6
Poland,,0.7,142.5242595,5
Pre-demographic dividend,59.83464,8.1,70.80979049,8.108108108
Puerto Rico,,15.9,87.24088991,6
"Korea, Dem. People‰Ûªs Rep.",,4.4,12.83477521,
Portugal,,1,112.4415545,6
Paraguay,95.0727005,9.3,111.6411078,7
West Bank and Gaza,96.69072723,,75.72566678,10
Pacific island small states,,3.4,79.66264304,6.777777778
Post-demographic dividend,,2.3,120.1442025,5.5
French Polynesia,,,96.63077533,
Qatar,,8.1,150.7318241,8
Romania,,1.5,116.3175572,6
Russian Federation,,11.3,157.9618048,5
Rwanda,,,75.32206096,7
South Asia,70.27439,3.6,76.31372301,8.25
Saudi Arabia,,1.5,167.3030551,14
Sudan,,6.5,72.29002642,11
Senegal,,7.3,99.88304062,4
Singapore,96.82549286,0.2,148.7391202,3
Solomon Islands,,,72.29361921,7
Sierra Leone,,1.9,78.16747904,6
El Salvador,87.96984863,108.6,147.867953,9
San Marino,,,111.1165049,8
Somalia,,5.6,41.96107183,9
Serbia,,1.1,130.3473823,6
Sub-Saharan Africa (excluding high income),63.61612,9.4,74.75504388,8.425531915
South Sudan,,,24.3979702,13
Sub-Saharan Africa,63.62022,9.4,74.76281515,8.4375
Small states,84.62552,13,114.8974986,7.4375
Sao Tome and Principe,,,94.58867928,6
Suriname,,10.7,135.6556666,13
Slovak Republic,,0.9,122.7277574,7
Slovenia,,1.2,113.4538083,4
Sweden,,1.1,129.4488949,3
Eswatini,,,71.34133074,12
Sint Maarten (Dutch part),,,,
Seychelles,,,158.140428,9
Syrian Arab Republic,,,76.39327959,7
Turks and Caicos Islands,,,,
Chad,26.00299072,9,39.01517501,9
East Asia & Pacific (IDA & IBRD countries),95.1932,1.4,102.5824749,7.904761905
Europe & Central Asia (IDA & IBRD countries),98.89842,5.7,128.9790164,5.409090909
Togo,63.74562073,9.1,65.46225718,6
Thailand,92.86830902,3.5,149.9353313,7
Tajikistan,,,99.30221739,4
Turkmenistan,,4.2,140.909251,
Latin America & the Caribbean (IDA & IBRD countries),93.08523,22.7,111.8492525,8.566666667
Timor-Leste,,,110.9342881,4
Middle East & North Africa (IDA & IBRD countries),76.12811,3.8,99.31721115,8.083333333
Tonga,,,69.09574668,4
South Asia (IDA & IBRD),70.27439,3.6,76.31372301,8.25
Sub-Saharan Africa (IDA & IBRD countries),63.62022,9.4,74.76281515,8.4375
Trinidad and Tobago,,30.9,156.1198801,7
Tunisia,,,129.4688123,9
Turkey,95.60141754,,94.08186548,8
Tuvalu,,,59.99454595,
Tanzania,77.88722992,7,73.61847004,11
Uganda,,,50.36826125,14
Ukraine,,,143.9836554,5
Upper middle income,94.78283,7.2,104.5905929,7.725490196
Uruguay,98.52387238,8.4,150.5287986,5
United States,,4.9,119.4973905,6
Uzbekistan,99.98383331,3,70.32310573,4
St. Vincent and the Grenadines,,,103.577726,7
"Venezuela, RB",96.60521698,57.1,93.3827375,20
British Virgin Islands,,,189.9345797,
Virgin Islands (U.S.),,,,
Vietnam,,,128.5903997,9
Vanuatu,,2.1,66.068034,8
World,86.01721,5.3,97.40021929,7.321052632
