"ORI","year","department_name","total_pop","homs_sum","rape_sum","rob_sum","agg_ass_sum","violent_crime","months_reported","violent_per_100k","homs_per_100k","rape_per_100k","rob_per_100k","agg_ass_per_100k","source","url"
"NM00101",2015,"Albuquerque",559721,43,404,1686,3273,5406,NA,965.838337314483,7.68239890945668,72.1788176609418,301.221501426604,584.755619317481,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"TX22001",2015,"Arlington",387565,8,208,529,1201,1946,NA,502.109323597332,2.06416988118122,53.6684169107117,136.493233393108,309.883503412331,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"GAAPD00",2015,"Atlanta",464710,94,170,1995,2944,5203,NA,1119.62299068236,20.2276688687569,36.5819543371135,429.299993544361,633.51337393213,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"CO00101",2015,"Aurora",360237,24,352,447,837,1660,NA,460.807746011653,6.66228066522872,97.713449756688,124.084977389885,232.347038199852,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"TX22701",2015,"Austin",938728,23,487,929,2058,3497,NA,372.525374762444,2.4501239975797,51.878712470492,98.9637040761541,219.232834218219,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"MDBPD00",2015,"Baltimore",621252,344,287,4313,4598,9542,NA,1535.93066903608,55.3720551402651,46.1970343757445,694.243237848731,740.118341671335,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"MD00301",2015,"Baltimore County",828871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"MA01301",2015,"Boston",665258,38,240,1551,2873,4702,NA,706.793454569505,5.71206960307129,36.0762290720292,233.142630377989,431.862525516416,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"NY01401",2015,"Buffalo",258096,41,173,1033,1640,2887,NA,1118.57603372389,15.8855619614407,67.0293224226644,400.238670882152,635.422478457628,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"NC06001",2015,"Charlotte-Mecklenburg",877817,61,216,1947,3724,5948,NA,677.589976042843,6.94905658013003,24.6064954312801,221.800215762511,424.234208268922,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"ILCPD00",2015,"Chicago",2728695,478,1432,9649,13104,24663,NA,903.838648144992,17.5175312741072,52.4792987123882,353.612257874185,480.229560284312,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"OHCIP00",2015,"Cincinnati",298478,66,236,1263,1196,2761,NA,925.026300095819,22.11218247241,79.067803992254,423.146764585665,400.699549045491,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"OHCLP00",2015,"Cleveland",388655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"OHCOP00",2015,"Columbus",847745,77,806,2240,1508,4631,NA,546.272758907455,9.08291998183416,95.0757598098485,264.230399471539,177.883679644233,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"TXDPD00",2015,"Dallas",1301977,136,782,4177,3943,9038,NA,694.175089114477,10.4456530338094,60.0625049444038,320.819799428101,302.847131708164,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"CODPD00",2015,"Denver",682418,53,548,1230,2768,4599,NA,673.927123844916,7.76650088362265,80.3026883816078,180.241435601054,405.616498978632,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"MI82349",2015,"Detroit",673225,295,530,3457,7564,11846,NA,1759.59003304987,43.8189312636934,78.7255375246017,513.498458910468,1123.54710535111,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"TX07102",2015,"El Paso",686077,17,322,410,1766,2515,NA,366.576929411713,2.47785598409508,46.933507463448,59.760056086999,257.405509877171,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"VA02901",2015,"Fairfax County",1101700,14,130,443,387,974,NA,88.4088227285105,1.27076336570754,11.7999455387129,40.2105836434601,35.1275301806299,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-10/table_10_offenses_known_to_law_enforcement_by_state_by_metropolitan_and_nonmetropolitan_counties_2015.xls"
"TX22012",2015,"Fort Worth",829731,56,516,981,2806,4359,NA,525.350987247674,6.74917533513874,62.1888298737784,118.231089353055,338.181892685702,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"CA01005",2015,"Fresno",520837,39,167,1012,1653,2871,NA,551.22811935404,7.48794728485111,32.0637742710291,194.30263210947,317.37376568869,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"HI00200",2015,"Honolulu",999307,15,318,896,1208,2437,NA,243.869001217844,1.50104022087306,31.822052682509,89.6621358601511,120.883772454311,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"TXHPD00",2015,"Houston",2275221,303,986,10278,10427,21994,NA,966.675325166215,13.3173876295973,43.3364495141351,451.736336821786,458.285151200697,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"INIPD00",2015,"Indianapolis",863675,148,677,3802,6497,11124,NA,1287.98448490462,17.1360754913596,78.3859669435841,440.211885257765,752.250557211914,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"FL01602",2015,"Jacksonville",867258,97,471,1398,3656,5622,NA,648.250001729589,11.1846763016311,54.3090983306006,161.197705872993,421.558521224365,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"MOKPD00",2015,"Kansas City",473373,109,366,1703,4531,6709,NA,1417.27559451004,23.0262393503643,77.3174642406728,359.758583611655,957.173307307345,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"NV00201",2015,"Las Vegas",1562134,127,1107,5010,8139,14383,NA,920.727671249713,8.12990434879466,70.8645993237456,320.715124310719,521.018043266455,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"CA01941",2015,"Long Beach",476318,36,177,1054,1499,2766,NA,580.704487338291,7.55797597403415,37.1600485390013,221.280741017555,314.7057218077,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"CA01942",2015,"Los Angeles",3962726,282,2209,8952,13713,25156,NA,634.815528502349,7.11631336610202,55.7444547011325,225.905096643068,346.049663792046,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"CA01900",2015,"Los Angeles County",1111939,98,304,1212,3559,5173,NA,465.223362072919,8.813433110989,27.3396292422516,108.998785005293,320.071514714386,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-10/table_10_offenses_known_to_law_enforcement_by_state_by_metropolitan_and_nonmetropolitan_counties_2015.xls"
"KY05680",2015,"Louisville",680550,81,205,1545,2469,4300,NA,631.841892586878,11.9021379766365,30.1226948791419,227.022261406216,362.794798324884,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"TNMPD00",2015,"Memphis",657936,135,530,3131,7653,11449,NA,1740.1388584908,20.5187130663165,80.5549475936869,475.882152671384,1163.18304515941,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"AZ00717",2015,"Mesa",471034,16,241,408,1307,1972,NA,418.653430537923,3.39678239787361,51.1640348679713,86.6179511457772,277.474662126301,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"FL01306",2015,"Miami",437969,75,80,1681,2637,4473,NA,1021.30516086755,17.124499679201,18.2661329911478,383.817119476493,602.097408720709,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"FL01300",2015,"Miami-Dade County",1195232,86,379,1661,4053,6179,NA,516.970763834971,7.195255816444,31.7093250515381,138.968836175738,339.097346791251,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-10/table_10_offenses_known_to_law_enforcement_by_state_by_metropolitan_and_nonmetropolitan_counties_2015.xls"
"WIMPD00",2015,"Milwaukee",600400,145,436,3749,5253,9583,NA,1596.10259826782,24.1505662891406,72.618254497002,624.417055296469,874.91672218521,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
"MN02711",2015,"Minneapolis",413479,47,407,1896,2045,4395,NA,1062.93185385473,11.3669618045898,98.4330522227247,458.548076202177,494.583763625239,"Crime in the U.S. 2015","https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls"
